annotation_id,comparison_id,dataset,query_id,blind_system,hidden_method,answer_f1,answer_coverage,semantic_similarity,total_tokens,rating,notes
asqa_01_systema,asqa_01,asqa,asqa_122,System A,Fixed Top-10,0.190476,0.148148,0.819143,1088,CORRECT,
asqa_01_systemb,asqa_01,asqa,asqa_122,System B,TACER,0.529412,0.518519,0.90363,471,CORRECT,
asqa_01_systemc,asqa_01,asqa,asqa_122,System C,Safe Adaptive Context,0.169811,0.222222,0.73726,514,PARTIALLY_CORRECT,
asqa_01_systemd,asqa_01,asqa,asqa_122,System D,Adaptive-k,0.190476,0.148148,0.819143,702,CORRECT,
asqa_02_systema,asqa_02,asqa,asqa_91,System A,Fixed Top-10,0.45614,0.447368,0.815438,1096,PARTIALLY_CORRECT,
asqa_02_systemb,asqa_02,asqa,asqa_91,System B,Safe Adaptive Context,0.538462,0.394737,0.833657,343,CORRECT,
asqa_02_systemc,asqa_02,asqa,asqa_91,System C,TACER,0.564103,0.421053,0.845,343,CORRECT,
asqa_02_systemd,asqa_02,asqa,asqa_91,System D,Adaptive-k,0.282927,0.473684,0.718843,790,PARTIALLY_CORRECT,
asqa_03_systema,asqa_03,asqa,asqa_133,System A,Fixed Top-10,0.358025,0.434783,0.65866,1455,PARTIALLY_CORRECT,
asqa_03_systemb,asqa_03,asqa,asqa_133,System B,Adaptive-k,0.451613,0.586957,0.793466,763,PARTIALLY_CORRECT,
asqa_03_systemc,asqa_03,asqa,asqa_133,System C,TACER,0.610687,0.565217,0.794121,387,CORRECT,
asqa_03_systemd,asqa_03,asqa,asqa_133,System D,Safe Adaptive Context,0.610687,0.565217,0.794121,387,CORRECT,
asqa_04_systema,asqa_04,asqa,asqa_119,System A,Safe Adaptive Context,0.455446,0.375,0.870055,317,CORRECT,
asqa_04_systemb,asqa_04,asqa,asqa_119,System B,Adaptive-k,0.301075,0.35,0.846858,860,CORRECT,
asqa_04_systemc,asqa_04,asqa,asqa_119,System C,Fixed Top-10,0.301075,0.35,0.846858,860,CORRECT,
asqa_04_systemd,asqa_04,asqa,asqa_119,System D,TACER,0.455446,0.375,0.870055,317,CORRECT,
asqa_05_systema,asqa_05,asqa,asqa_69,System A,Adaptive-k,0.38806,0.4,0.809092,581,CORRECT,
asqa_05_systemb,asqa_05,asqa,asqa_69,System B,TACER,0.535211,0.633333,0.834688,372,CORRECT,
asqa_05_systemc,asqa_05,asqa,asqa_69,System C,Safe Adaptive Context,0.535211,0.633333,0.834688,372,CORRECT,
asqa_05_systemd,asqa_05,asqa,asqa_69,System D,Fixed Top-10,0.552632,0.666667,0.819187,785,CORRECT,
asqa_06_systema,asqa_06,asqa,asqa_83,System A,Fixed Top-10,0.513514,0.828571,0.921024,1563,CORRECT,
asqa_06_systemb,asqa_06,asqa,asqa_83,System B,TACER,0.632479,0.771429,0.909601,465,CORRECT,
asqa_06_systemc,asqa_06,asqa,asqa_83,System C,Safe Adaptive Context,0.634615,0.685714,0.914593,444,CORRECT,
asqa_06_systemd,asqa_06,asqa,asqa_83,System D,Adaptive-k,0.496124,0.685714,0.930234,1020,CORRECT,
asqa_07_systema,asqa_07,asqa,asqa_126,System A,Safe Adaptive Context,0.685714,0.55,0.895326,349,CORRECT,
asqa_07_systemb,asqa_07,asqa,asqa_126,System B,TACER,0.685714,0.55,0.895326,349,CORRECT,
asqa_07_systemc,asqa_07,asqa,asqa_126,System C,Fixed Top-10,0.565217,0.6,0.894794,1031,CORRECT,
asqa_07_systemd,asqa_07,asqa,asqa_126,System D,Adaptive-k,0.565217,0.6,0.894794,769,CORRECT,
asqa_08_systema,asqa_08,asqa,asqa_147,System A,Adaptive-k,0.381679,0.578947,0.826361,1016,PARTIALLY_CORRECT,
asqa_08_systemb,asqa_08,asqa,asqa_147,System B,Safe Adaptive Context,0.5,0.473684,0.838399,821,CORRECT,
asqa_08_systemc,asqa_08,asqa,asqa_147,System C,Fixed Top-10,0.45,0.657895,0.848418,1006,PARTIALLY_CORRECT,
asqa_08_systemd,asqa_08,asqa,asqa_147,System D,TACER,0.5,0.473684,0.838399,817,CORRECT,
asqa_09_systema,asqa_09,asqa,asqa_68,System A,Safe Adaptive Context,0.453782,0.384615,0.56625,360,PARTIALLY_CORRECT,
asqa_09_systemb,asqa_09,asqa,asqa_68,System B,Fixed Top-10,0.432836,0.403846,0.648664,1565,PARTIALLY_CORRECT,
asqa_09_systemc,asqa_09,asqa,asqa_68,System C,Adaptive-k,0.366667,0.288462,0.570504,1160,PARTIALLY_CORRECT,
asqa_09_systemd,asqa_09,asqa,asqa_68,System D,TACER,0.482759,0.384615,0.555285,357,PARTIALLY_CORRECT,
asqa_10_systema,asqa_10,asqa,asqa_128,System A,Fixed Top-10,0.5,0.521739,0.864771,1061,PARTIALLY_CORRECT,
asqa_10_systemb,asqa_10,asqa,asqa_128,System B,TACER,0.5,0.434783,0.795781,285,PARTIALLY_CORRECT,
asqa_10_systemc,asqa_10,asqa,asqa_128,System C,Adaptive-k,0.4,0.521739,0.848932,1047,PARTIALLY_CORRECT,
asqa_10_systemd,asqa_10,asqa,asqa_128,System D,Safe Adaptive Context,0.5,0.434783,0.795781,285,PARTIALLY_CORRECT,
asqa_11_systema,asqa_11,asqa,asqa_85,System A,Safe Adaptive Context,0.5,0.519231,0.797077,359,CORRECT,
asqa_11_systemb,asqa_11,asqa,asqa_85,System B,Adaptive-k,0.427481,0.480769,0.79585,662,CORRECT,
asqa_11_systemc,asqa_11,asqa,asqa_85,System C,TACER,0.5,0.519231,0.797077,359,CORRECT,
asqa_11_systemd,asqa_11,asqa,asqa_85,System D,Fixed Top-10,0.434783,0.461538,0.810192,1060,CORRECT,
asqa_12_systema,asqa_12,asqa,asqa_127,System A,Adaptive-k,0.333333,0.333333,0.891149,1196,CORRECT,
asqa_12_systemb,asqa_12,asqa,asqa_127,System B,Safe Adaptive Context,0.365854,0.333333,0.856284,357,PARTIALLY_CORRECT,
asqa_12_systemc,asqa_12,asqa,asqa_127,System C,TACER,0.385542,0.333333,0.779544,360,CORRECT,
asqa_12_systemd,asqa_12,asqa,asqa_127,System D,Fixed Top-10,0.333333,0.333333,0.891149,1196,CORRECT,
asqa_13_systema,asqa_13,asqa,asqa_73,System A,Adaptive-k,0.705882,0.636364,0.904393,653,CORRECT,
asqa_13_systemb,asqa_13,asqa,asqa_73,System B,Fixed Top-10,0.705882,0.636364,0.904393,882,CORRECT,
asqa_13_systemc,asqa_13,asqa,asqa_73,System C,TACER,0.754098,0.636364,0.881565,332,CORRECT,
