dataset,method,code_mode,ndcg_at_10,mrr_at_10,answer_f1,answer_coverage,semantic_similarity,f1_retained_vs_top10,semantic_similarity_retained_vs_top10,total_tokens,token_reduction_vs_top10,fallback_rate
SciFact,No Retrieval,no_retrieval_full,0.0,0.0,0.274837,0.495251,0.367923,113.0%,67.2%,119.4,96.5%,0.0%
SciFact,Fixed Top-3,fixed_3_full,0.517187,0.505833,0.245145,0.818521,0.544218,100.8%,99.4%,1135.12,66.7%,0.0%
SciFact,Fixed Top-5,fixed_5_full,0.548163,0.523583,0.245099,0.820034,0.540502,100.8%,98.7%,1785.34,47.7%,0.0%
SciFact,Fixed Top-7,fixed_7_full,0.559277,0.528345,0.245033,0.827207,0.547742,100.7%,100.0%,2433.97,28.7%,0.0%
SciFact,Fixed Top-10,fixed_10_full,0.56748,0.530595,0.243247,0.815308,0.547716,100.0%,100.0%,3413.59,0.0%,0.0%
SciFact,Heuristic Rules,heuristic_rules_full,0.548681,0.523798,0.245189,0.819101,0.546372,100.8%,99.8%,2147.67,37.1%,0.0%
SciFact,Adaptive-k,adaptive_k_full,0.491895,0.485833,0.251003,0.818284,0.545321,103.2%,99.6%,858.02,74.9%,0.0%
SciFact,Safe Adaptive Context,answer_aware_fallback,0.525143,0.510083,0.246903,0.82047,0.546241,101.5%,99.7%,1026.84,69.9%,10.0%
SciFact,Coverage-Guided Ultra,coverage_guided_ultra,0.500015,0.48975,0.25395,0.813562,0.552338,104.4%,100.8%,653.15,80.9%,0.0%
SciFact,TACER,task_aware_coverage_ultra,0.500015,0.48975,0.252813,0.81385,0.55417,103.9%,101.2%,653.6,80.9%,0.0%
BioASQ,No Retrieval,no_retrieval_full,0.0,0.0,0.201836,0.233687,0.532329,61.5%,70.7%,121.39,96.5%,0.0%
BioASQ,Fixed Top-3,fixed_3_full,0.604519,0.906667,0.322358,0.48322,0.750155,98.2%,99.7%,1140.5,66.7%,0.0%
BioASQ,Fixed Top-5,fixed_5_full,0.710061,0.907667,0.325737,0.498267,0.751332,99.2%,99.8%,1795.32,47.5%,0.0%
BioASQ,Fixed Top-7,fixed_7_full,0.770304,0.907667,0.324833,0.502418,0.749411,98.9%,99.6%,2453.7,28.3%,0.0%
BioASQ,Fixed Top-10,fixed_10_full,0.831084,0.908167,0.328406,0.506597,0.752756,100.0%,100.0%,3420.69,0.0%,0.0%
BioASQ,Heuristic Rules,heuristic_rules_full,0.732266,0.907667,0.325061,0.49935,0.748764,99.0%,99.5%,2079.66,39.2%,0.0%
BioASQ,Adaptive-k,adaptive_k_full,0.539145,0.8975,0.319308,0.458208,0.738199,97.2%,98.1%,917.53,73.2%,0.0%
BioASQ,Safe Adaptive Context,answer_aware_fallback,0.607442,0.906667,0.322513,0.49395,0.749048,98.2%,99.5%,870.18,74.6%,4.0%
BioASQ,Coverage-Guided Ultra,coverage_guided_ultra,0.591526,0.91,0.313178,0.462305,0.740013,95.4%,98.3%,679.25,80.1%,0.0%
