method_name,mode,docs_used,prompt_tokens,completion_tokens,total_tokens,token_reduction_vs_fixed_10,token_source,generation_time_ms,fallback_rate,first_pass_tokens,fallback_tokens,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10
No Retrieval,no_retrieval_full,0.0,84.855,26.02,110.875,0.920689,provider,1112.26,0.0,0.0,0.0,0.101411,0.136235,0.282955,0.0,0.0
Fixed Small Context,fixed_3_full,3.0,460.995,67.355,528.35,0.622059,provider,2026.765,0.0,0.0,0.0,0.196697,0.580155,0.468497,0.385599,0.36
Fixed Medium Context,fixed_5_full,5.0,712.58,72.975,785.555,0.438074,provider,2160.67,0.0,0.0,0.0,0.197695,0.624256,0.472222,0.474519,0.40325
Fixed Large Context,fixed_7_full,7.0,961.02,74.14,1035.16,0.259526,provider,2190.325,0.0,0.0,0.0,0.198178,0.621408,0.474793,0.535107,0.428607
Fixed Full Context,fixed_10_full,10.0,1322.755,75.215,1397.97,0.0,provider,2227.275,0.0,0.0,0.0,0.195618,0.614194,0.473325,0.552481,0.434579
Heuristic Rules,heuristic_rules_full,5.22,742.375,70.655,813.03,0.418421,provider,2085.395,0.0,0.0,0.0,0.2006,0.616731,0.475987,0.487252,0.40894
Adaptive-k,adaptive_k_full,4.465,654.555,63.79,718.345,0.486151,provider,1930.66,0.0,0.0,0.0,0.199485,0.549167,0.466066,0.431013,0.37028
Safe Adaptive Context,answer_aware_fallback,6.81,786.395,72.87,859.265,0.385348,provider,2200.29,0.01,846.365,12.9,0.195315,0.621966,0.468943,0.515606,0.420329
Coverage-Guided Ultra,coverage_guided_ultra,4.495,578.98,63.065,642.045,0.54073,provider,1969.17,0.0,642.045,0.0,0.193461,0.533332,0.451645,0.431013,0.37028
TACER,task_aware_coverage_ultra,4.495,578.98,63.38,642.36,0.540505,provider,1925.825,0.0,642.36,0.0,0.194744,0.52266,0.455981,0.431013,0.37028
