mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_416,0,78,36,114,provider,6797,0.16092,0.125,0.746635,0.0,0.0,[],"The provided documents do not contain information about how U1 small nuclear RNA could be used in therapeutics. Therefore, the evidence is insufficient to answer this question.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_416,3,1205,80,1285,provider,12687,0.234234,0.208333,0.765824,0.539003,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335""]","The documents provide evidence that U1 small nuclear RNA (U1) can be used in therapeutics to correct splice defects caused by mutations in certain genes, such as the retinitis pigmentosa GTPase regulator (RPGR) and BBS1. This is achieved by adapting the sequence of U1 to increase its complementarity to the mutated",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_416,5,1980,80,2060,provider,10386,0.317757,0.3125,0.833201,0.64794,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335"", ""bioasq_22362925"", ""bioasq_9860962""]","U1 small nuclear RNA (U1) can be used in therapeutics for correcting splice donor site mutations that cause disease-causing mutations affecting precursor-mRNA splicing, as shown in documents 2, 3, and 4. By adapting the sequence of U1 to increase its complementarity to the mutated spl",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_416,7,2834,80,2914,provider,11384,0.327273,0.3125,0.819236,0.822354,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335"", ""bioasq_22362925"", ""bioasq_9860962"", ""bioasq_22454067"", ""bioasq_20869034""]","U1 small nuclear RNA (U1 snRNA) can be used in therapeutics to correct splice donor site (SDS) mutations, as demonstrated in documents 2 and 3. In these documents, it is shown that by adapting the sequence of U1 to increase its complementarity to the mutated SD, aberrant splicing of end",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_416,10,4037,80,4117,provider,14580,0.339286,0.333333,0.893885,0.895471,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335"", ""bioasq_22362925"", ""bioasq_9860962"", ""bioasq_22454067"", ""bioasq_20869034"", ""bioasq_7513257"", ""bioasq_28855414"", ""bioasq_22454066""]","The documents provide evidence that U1 small nuclear RNA (U1 snRNA) can be used in therapeutics, specifically for gene silencing and correcting splicing defects caused by mutations. This is achieved by designing U1 snRNA variants with increased complementarity to the target mRNA, which allows for efficient exon skipping and correction of splic",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_416,3,1205,80,1285,provider,13019,0.234234,0.208333,0.765824,0.539003,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335""]","The documents provide evidence that U1 small nuclear RNA (U1) can be used in therapeutics to correct splice defects caused by mutations in certain genes, such as the retinitis pigmentosa GTPase regulator (RPGR) and BBS1. This is achieved by adapting the sequence of U1 to increase its complementarity to the mutated",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_416,1,382,80,462,provider,4741,0.25641,0.229167,0.7243,0.252943,1.0,"[""bioasq_19219028""]","The provided document suggests that U1 small nuclear RNA could be used in therapeutics through the use of U1 Adaptors. These adaptors, when designed to target specific genes, can inhibit poly(A)-tail addition and cause degradation of the targeted RNA species in the nucleus. This gene silencing method is distinct from antisense and RNA interference methods",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_416,3,854,80,934,provider,9945,0.288288,0.270833,0.781657,0.539003,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335""]","U1 small nuclear RNA can be used in therapeutics to correct splice defects, as demonstrated in the case of Retinitis Pigmentosa (RP) [Document 2]. In this context, mutation-adapted U1 is used to bind to specific sites in the target gene's terminal exon and initiate the splicing process, thereby correct",False,,934,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_416,3,415,80,495,provider,6570,0.27027,0.25,0.7842,0.412532,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_28855414""]","The documents provided suggest that U1 small nuclear RNA could potentially be used in therapeutics through a gene silencing method. This method employs U1 Adaptors, which bind to the U1 small nuclear RNA component of the U1 snRNP splicing factor. When tethered to the target pre-mRNA, it inhibits poly(A)-",False,,495,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_416,3,415,80,495,provider,4168,0.27027,0.25,0.7842,0.412532,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_28855414""]","The documents provided suggest that U1 small nuclear RNA could potentially be used in therapeutics through a gene silencing method. This method employs U1 Adaptors, which bind to the U1 small nuclear RNA component of the U1 snRNP splicing factor. When tethered to the target pre-mRNA, it inhibits poly(A)-",False,ultra_route:focused_or_concentrated,495,0
