method_name,mode,docs_used,prompt_tokens,completion_tokens,total_tokens,token_reduction_vs_fixed_10,token_source,generation_time_ms,fallback_rate,first_pass_tokens,fallback_tokens,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10
No Retrieval,no_retrieval_full,0.0,87.26,55.655,142.915,0.9622,provider,6470.285,0.0,0.0,0.0,0.296573,0.691519,0.561237,0.0,0.0
Fixed Small Context,fixed_3_full,3.0,1254.795,73.54,1328.335,0.648666,provider,19974.975,0.0,0.0,0.0,0.246628,0.675728,0.522554,0.517187,0.505833
Fixed Medium Context,fixed_5_full,5.0,2042.5,72.985,2115.485,0.440471,provider,16562.96,0.0,0.0,0.0,0.244077,0.67354,0.515897,0.548163,0.523583
Fixed Large Context,fixed_7_full,7.0,2807.015,73.635,2880.65,0.238092,provider,18639.23,0.0,0.0,0.0,0.240009,0.663493,0.512035,0.559277,0.528345
Fixed Full Context,fixed_10_full,10.0,3705.545,75.29,3780.835,0.0,provider,31653.92,0.0,0.0,0.0,0.188544,0.530401,0.418508,0.56748,0.530595
Heuristic Rules,heuristic_rules_full,6.13,2466.44,74.035,2540.475,0.328065,provider,20519.695,0.0,0.0,0.0,0.238504,0.646787,0.515404,0.548681,0.523798
Adaptive-k,adaptive_k_full,2.085,911.21,71.66,982.87,0.740039,provider,9116.885,0.0,0.0,0.0,0.258689,0.677432,0.520961,0.491895,0.485833
Safe Adaptive Context,answer_aware_fallback,3.085,988.595,82.05,1070.645,0.716823,provider,18126.59,0.07,919.38,151.265,0.24206,0.679232,0.514484,0.519121,0.506833
Coverage-Guided Ultra,coverage_guided_ultra,3.07,704.485,73.065,777.55,0.794344,provider,14190.67,0.005,774.695,2.855,0.246266,0.694273,0.525651,0.500015,0.48975
TACER,task_aware_coverage_ultra,3.07,704.485,73.065,777.55,0.794344,provider,8294.63,0.005,774.695,2.855,0.246404,0.692361,0.524839,0.500015,0.48975
No Retrieval,no_retrieval_full,0.0,78.53,43.025,121.555,0.968696,provider,4261.63,0.0,0.0,0.0,0.20806,0.276547,0.633309,0.0,0.0
Fixed Small Context,fixed_3_full,3.0,1297.415,67.38,1364.795,0.648524,provider,17669.225,0.0,0.0,0.0,0.314973,0.450083,0.733979,0.604519,0.906667
Fixed Medium Context,fixed_5_full,5.0,2109.355,68.17,2177.525,0.439222,provider,14396.735,0.0,0.0,0.0,0.317745,0.457891,0.730294,0.710061,0.907667
Fixed Large Context,fixed_7_full,7.0,2914.395,67.42,2981.815,0.232093,provider,16006.755,0.0,0.0,0.0,0.309364,0.443781,0.716802,0.770304,0.907667
Fixed Full Context,fixed_10_full,10.0,3810.215,72.825,3883.04,0.0,provider,32508.45,0.0,0.0,0.0,0.242044,0.338392,0.584888,0.831084,0.908167
Heuristic Rules,heuristic_rules_full,5.82,2454.675,68.055,2522.73,0.350321,provider,21680.935,0.0,0.0,0.0,0.309309,0.446223,0.720924,0.732266,0.907667
Adaptive-k,adaptive_k_full,2.32,1021.85,61.66,1083.51,0.720963,provider,7085.39,0.0,0.0,0.0,0.318127,0.425834,0.727293,0.539145,0.8975
Safe Adaptive Context,answer_aware_fallback,3.045,967.99,73.63,1041.62,0.731751,provider,15082.495,0.06,923.12,118.5,0.305003,0.442241,0.732018,0.604519,0.906667
Coverage-Guided Ultra,coverage_guided_ultra,3.025,750.08,64.685,814.765,0.790173,provider,12193.95,0.0,814.765,0.0,0.316671,0.436653,0.731423,0.591526,0.91
TACER,task_aware_coverage_ultra,2.91,720.385,65.35,785.735,0.79765,provider,6549.11,0.0,785.735,0.0,0.316297,0.43984,0.732742,0.581004,0.91
No Retrieval,no_retrieval_full,0.0,136.225,8.385,144.61,0.929034,provider,1154.35,0.0,0.0,0.0,0.204492,0.253147,0.407097,0.0,0.0
Fixed Small Context,fixed_3_full,3.0,631.88,6.615,638.495,0.686663,provider,5912.205,0.0,0.0,0.0,0.294086,0.345519,0.443179,0.596062,0.7675
Fixed Medium Context,fixed_5_full,5.0,1002.0,6.71,1008.71,0.504982,provider,4647.48,0.0,0.0,0.0,0.333123,0.387385,0.480517,0.64131,0.77975
Fixed Large Context,fixed_7_full,7.0,1396.435,6.865,1403.3,0.31134,provider,5069.375,0.0,0.0,0.0,0.358436,0.413754,0.510124,0.679501,0.786179
