dataset,query_id,label,fixed_f1,chosen_f1,chosen_tokens,fixed_tokens,features_json
scifact,230,answer_aware_fallback,0.231884,0.314286,666.0,4120.0,"[13.0, 13.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.223002, 0.17762640000000002, 0.029034381499181274, 0.08549999999999999, 0.05093227863427237, 0.023040152106259152, 0.08587366929444579, 0.04582470112375664, 0.16149182518542443, 0.09509780181343666, 6.0, 0.12554552701625435, 0.36095535348349117, 0.5717038683438947, 0.42829613165610514, 1.1925942167721097, 0.4282177341632064, 2.2891709387198014, 0.9941743068192966]"
scifact,232,answer_aware_fallback,0.121212,0.119403,537.0,4198.0,"[12.0, 12.0, 1.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.511778, 0.20592799999999997, 0.1717081106110017, 0.44095599999999996, 0.10944003063828453, 0.05886341343316821, 0.5350347220865298, 0.025739676187722032, 0.790073039481963, 0.5350347220865298, 3.0, 0.24852278466260053, 0.6765427722310711, 0.8024416300843014, 0.1975583699156987, 4.763561562232399, 0.727693860996621, 1.9891365657855014, 0.8638710342726278]"
scifact,233,answer_aware_fallback,0.219178,0.263158,664.0,2878.0,"[12.0, 11.0, 0.9166666666666666, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.303307, 0.16814469999999998, 0.047623605917758896, 0.168767, 0.4044515952483787, 0.03233687320108004, 0.018548863033164394, 0.04045406139653883, 0.4627126970363361, 0.4044515952483787, 1.0, 0.1803845140524798, 0.38940686206582786, 0.5845738819005297, 0.41542611809947033, 1.8612016224541768, 0.46413971394566284, 2.2682655500535263, 0.9850952118794907]"
scifact,236,adaptive_k_full,0.123077,0.126984,457.0,2877.0,"[10.0, 9.0, 0.9, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.327317, 0.17783359999999998, 0.05231690641886235, 0.18586800000000003, 0.4044519533052057, 0.05088339438525956, 0.019100749426396977, 0.009541209286410382, 0.5033133017838977, 0.4044519533052057, 1.0, 0.1840580182822594, 0.3939233080812625, 0.5820767279074371, 0.41792327209256297, 2.0133416167406843, 0.4690195038701769, 2.265947211294477, 0.9840883701492532]"
scifact,237,coverage_guided_ultra,0.123077,0.163265,457.0,3271.0,"[12.0, 11.0, 0.9166666666666666, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.399875, 0.1791714, 0.09823868267052444, 0.29247799999999996, 0.1792310096905282, 0.3246514535792436, 0.05886089402938419, 0.05507971241012818, 0.6604763988746484, 0.3246514535792436, 2.0, 0.2231801504034684, 0.5170830835724898, 0.690445015220063, 0.3095549847799369, 2.9453033505932957, 0.5883692189667172, 2.173011534256459, 0.943726918439699]"
scifact,238,coverage_guided_ultra,0.126984,0.153846,360.0,2906.0,"[7.0, 7.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.38225, 0.2085003, 0.06533771374948774, 0.22580099999999997, 0.33874950948332233, 0.03406409417920211, 0.12858600392413344, 0.009457161543492498, 0.5314872465663832, 0.33874950948332233, 1.0, 0.18333306954474404, 0.41954615892639, 0.5968499805515868, 0.4031500194484133, 2.1344136155766127, 0.4963805144169413, 2.25981322065889, 0.9814244118641715]"
scifact,239,answer_aware_fallback,0.190476,0.238806,646.0,2328.0,"[8.0, 8.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.235217, 0.19949429999999999, 0.022482994320374677, 0.06796200000000002, 0.024356232755285593, 0.0513398266281774, 0.015288010645489007, 0.013145308374819895, 0.1562472100230851, 0.0652631399941331, 4.0, 0.11790662690613217, 0.34192305243808974, 0.548586099953733, 0.45141390004626697, 1.1851812662182248, 0.41218940782409175, 2.2962506468878394, 0.997248985010161]"
scifact,248,coverage_guided_ultra,0.266667,0.352941,500.0,2816.0,"[8.0, 8.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.355301, 0.2006272, 0.07281448506279502, 0.22375199999999998, 0.16957452976490348, 0.16983909417648702, 0.025004151409649854, 0.13349526176396914, 0.45440063495458777, 0.16983909417648702, 2.0, 0.17709512967334437, 0.4411460659372209, 0.6503275727319128, 0.3496724272680873, 1.8328467077977013, 0.5093158301496022, 2.241085958594517, 0.9732912652884582]"
scifact,249,fixed_10_full,0.305085,0.305085,2806.0,2806.0,"[8.0, 8.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.347561, 0.1951099, 0.0711228154004747, 0.21887800000000002, 0.1599057431645092, 0.20451086284134304, 0.017668840865344444, 0.1334959906318603, 0.4543979330247065, 0.20451086284134304, 2.0, 0.1781360146256033, 0.4410073502164677, 0.6482715638724637, 0.3517284361275363, 1.8328376311765018, 0.5096184712553408, 2.241009238048773, 0.973257945978793]"
scifact,261,coverage_guided_ultra,0.260870,0.294118,525.0,3871.0,"[12.0, 12.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.315899, 0.22660589999999997, 0.04159977793798904, 0.129878, 0.08553999854383836, 0.14052276202203864, 0.05980392467212629, 0.0329409083282948, 0.32726599324467626, 0.14052276202203864, 2.0, 0.1394045786098244, 0.37477488450212465, 0.5681105390459825, 0.43188946095401753, 1.4864716068437198, 0.44994704554401094, 2.2866463047915895, 0.9930778722354485]"
