dataset,comparison,n,delta_f1,f1_ci_low,f1_ci_high,f1_wins,f1_ties,f1_losses,delta_coverage,coverage_ci_low,coverage_ci_high,delta_semantic,semantic_ci_low,semantic_ci_high,delta_tokens,tokens_ci_low,tokens_ci_high,token_wins,token_ties,token_losses
SciFact,TACER vs Adaptive-k,200,0.0018102750000000005,-0.0066329050000000014,0.010677160000000002,84,17,99,-0.00443382,-0.018798265,0.008982445,0.008848205000000001,0.0007241800000000047,0.017603225000000004,-204.425,-254.85,-159.15,155,1,44
SciFact,Safe Adaptive vs Adaptive-k,200,-0.004100140000000001,-0.012497760000000002,0.004399034999999998,78,13,109,0.0021862650000000015,-0.013771144999999999,0.01733276,0.0009197700000000025,-0.008070544999999993,0.00972135,168.815,20.845,329.645,73,0,127
SciFact,TACER vs Fixed Top-10,200,0.009566625,0.00036853999999999885,0.018320825,112,13,75,-0.0014583250000000016,-0.020432125000000006,0.017803114999999998,0.0064535000000000035,-0.0033322449999999954,0.016440045000000004,-2759.995,-2860.34,-2659.715,200,0,0
SciFact,Safe Adaptive vs Fixed Top-10,200,0.003656209999999998,-0.005929945000000004,0.012357709999999997,106,14,80,0.00516176,-0.01661268,0.026191239999999998,-0.0014749349999999954,-0.009951689999999996,0.006562510000000007,-2386.755,-2526.53,-2230.35,194,0,6
BioASQ,TACER vs Adaptive-k,200,-0.0056083899999999996,-0.02017883,0.009142835000000002,85,21,94,0.006133299999999997,-0.012706600000000002,0.025061084999999997,0.0019656750000000027,-0.007095999999999995,0.011056190000000007,-261.23,-328.03,-199.795,149,0,51
BioASQ,Safe Adaptive vs Adaptive-k,200,0.0032051850000000006,-0.012260630000000002,0.01887019,97,9,94,0.035741619999999995,0.01693707,0.055221885000000005,0.010848790000000002,0.0011580600000000046,0.021014670000000003,-47.355,-168.28,73.84,80,3,117
BioASQ,TACER vs Fixed Top-10,200,-0.014706905,-0.02872881,-0.000886675,80,16,104,-0.04225613,-0.06385706,-0.018872800000000002,-0.012591919999999996,-0.022532555000000003,-0.002085389999999995,-2764.385,-2858.905,-2667.89,200,0,0
BioASQ,Safe Adaptive vs Fixed Top-10,200,-0.005893329999999999,-0.019059839999999998,0.007227975000000001,94,11,95,-0.012647809999999999,-0.032700774999999994,0.008140534999999999,-0.003708804999999997,-0.013797169999999996,0.006543240000000003,-2550.51,-2660.105,-2431.64,197,0,3
HotpotQA,TACER vs Adaptive-k,200,0.137039695,0.08705558,0.18914287999999999,40,152,8,0.137345245,0.086035715,0.190511915,0.118768095,0.07315819,0.165820845,650.68,591.49,707.125,19,0,181
HotpotQA,Safe Adaptive vs Adaptive-k,200,0.137039695,0.08705558,0.18914287999999999,40,152,8,0.137345245,0.086035715,0.190511915,0.124528365,0.07874818,0.171643545,654.65,595.13,709.84,18,0,182
HotpotQA,TACER vs Fixed Top-10,200,-0.01755128,-0.044602565,0.00723077,5,185,10,-0.020607145,-0.04821429,0.00475,-0.02247172,-0.04904676,0.0028231249999999992,-560.88,-602.02,-520.815,195,0,5
HotpotQA,Safe Adaptive vs Fixed Top-10,200,-0.01755128,-0.044602565,0.00723077,5,185,10,-0.020607145,-0.04821429,0.00475,-0.01671145,-0.042299235,0.007960894999999999,-556.91,-597.625,-516.89,195,0,5
MS MARCO,TACER vs Adaptive-k,200,-0.0047408150000000015,-0.017108655,0.00719914,73,46,81,-0.026507215,-0.05724175,0.00338907,-0.010085054999999999,-0.0202612,-9.506000000000297e-05,-75.985,-93.495,-59.53,134,1,65
MS MARCO,Safe Adaptive vs Adaptive-k,200,-0.0041691700000000016,-0.01928164,0.011946640000000001,80,22,98,0.072799195,0.027617955000000003,0.11881214500000001,0.002876294999999999,-0.008728805000000001,0.015107229999999998,140.92,79.595,202.355,87,1,112
MS MARCO,TACER vs Fixed Top-10,200,-0.0008744650000000008,-0.016069915,0.013582909999999998,87,27,86,-0.091533615,-0.13756973,-0.04706614,-0.017343769999999998,-0.030618910000000003,-0.004569284999999996,-755.61,-805.945,-705.005,200,0,0
MS MARCO,Safe Adaptive vs Fixed Top-10,200,-0.0003028200000000002,-0.011622410000000001,0.0109713,87,24,89,0.007772795,-0.029979845,0.04736629,-0.004382419999999998,-0.013421049999999997,0.004693780000000003,-538.705,-577.545,-500.275,194,0,6
ASQA,TACER vs Adaptive-k,200,0.035515215,0.021385814999999996,0.04983238500000001,122,16,62,0.044829685,0.02786584,0.061998410000000004,0.033621355000000006,0.020434515,0.047172805000000005,136.47,89.37,191.715,42,1,157
ASQA,Safe Adaptive vs Adaptive-k,200,0.03344654500000001,0.018939150000000005,0.04766916000000001,120,16,64,0.04291919,0.026797539999999998,0.05960509,0.034630350000000004,0.021396160000000008,0.04825006500000001,150.055,101.605,206.86,38,2,160
ASQA,TACER vs Fixed Top-10,200,-0.01792189,-0.031731709999999996,-0.004107810000000001,74,20,106,-0.03766741,-0.055041944999999995,-0.021634725,-0.016077380000000002,-0.028165564999999993,-0.004193335000000001,-710.08,-767.625,-645.91,192,0,8
ASQA,Safe Adaptive vs Fixed Top-10,200,-0.019990559999999994,-0.03380734999999999,-0.005730049999999995,72,20,108,-0.039577905000000003,-0.05729625000000001,-0.023231995000000002,-0.015068385,-0.02686899,-0.0032487200000000027,-696.495,-752.415,-633.105,192,0,8
