Retriever,Dataset,Adaptive-k F1,TACER F1,TACER F1 Delta,Adaptive-k Red.,TACER Red.,TACER Red. Delta
Dense + CE,ASQA,0.415,0.417,+0.002,54.8%,54.4%,-0.4%
Dense + CE,BioASQ,0.338,0.324,-0.013,67.2%,78.7%,+11.5%
Dense + CE,HotpotQA,0.573,0.705,+0.131,66.4%,31.5%,-34.9%
Dense + CE,MSMARCO,0.204,0.200,-0.004,26.0%,33.7%,+7.7%
Dense + CE,SciFact,0.264,0.255,-0.009,76.6%,82.1%,+5.5%
TF-IDF,ASQA,0.368,0.404,+0.036,70.9%,59.4%,-11.5%
TF-IDF,BioASQ,0.319,0.314,-0.006,73.2%,80.8%,+7.6%
TF-IDF,HotpotQA,0.490,0.627,+0.137,70.4%,32.6%,-37.8%
TF-IDF,MSMARCO,0.199,0.195,-0.005,48.6%,54.1%,+5.5%
TF-IDF,SciFact,0.251,0.253,+0.002,74.9%,80.9%,+6.0%
TF-IDF + CE,ASQA,0.415,0.418,+0.003,64.4%,63.1%,-1.3%
TF-IDF + CE,BioASQ,0.336,0.320,-0.015,66.4%,77.9%,+11.5%
TF-IDF + CE,HotpotQA,0.560,0.676,+0.116,65.9%,31.8%,-34.1%
TF-IDF + CE,MSMARCO,0.204,0.200,-0.005,27.2%,34.6%,+7.4%
TF-IDF + CE,SciFact,0.262,0.251,-0.011,76.9%,82.5%,+5.6%
