retriever,query_id,ranked_doc_ids,scores,ndcg_at_10,mrr_at_10,recall_at_10
tfidf,bioasq_416,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335"", ""bioasq_22362925"", ""bioasq_9860962"", ""bioasq_22454067"", ""bioasq_20869034"", ""bioasq_7513257"", ""bioasq_28855414"", ""bioasq_22454066""]","[0.48008, 0.319417, 0.269562, 0.169727, 0.159674, 0.146472, 0.143456, 0.142734, 0.129574, 0.125425]",0.895471,1.0,0.875
tfidf,bioasq_4448,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412"", ""bioasq_31100030"", ""bioasq_22758911"", ""bioasq_28229309"", ""bioasq_24109197"", ""bioasq_23899985"", ""bioasq_31749075"", ""bioasq_32100250""]","[0.311229, 0.151279, 0.129519, 0.114916, 0.110401, 0.102954, 0.099491, 0.095142, 0.087917, 0.084366]",1.0,1.0,1.0
tfidf,bioasq_2483,"[""bioasq_21060250"", ""bioasq_25554218"", ""bioasq_18031713"", ""bioasq_20438784"", ""bioasq_21347402"", ""bioasq_18975117"", ""bioasq_10545285"", ""bioasq_8022486"", ""bioasq_31939155"", ""bioasq_22828605""]","[0.255655, 0.174869, 0.170303, 0.14191, 0.136175, 0.13494, 0.132061, 0.129109, 0.128015, 0.12742]",0.919975,1.0,1.0
tfidf,bioasq_339,"[""bioasq_7723058"", ""bioasq_20838599"", ""bioasq_7932780"", ""bioasq_3357886"", ""bioasq_1556753"", ""bioasq_8411203"", ""bioasq_2253708"", ""bioasq_8433382"", ""bioasq_1978331"", ""bioasq_3454289""]","[0.395354, 0.344736, 0.289239, 0.284958, 0.214236, 0.199701, 0.170834, 0.157573, 0.151732, 0.145731]",1.0,1.0,0.909091
tfidf,bioasq_647,"[""bioasq_22451505"", ""bioasq_19502294"", ""bioasq_15099592"", ""bioasq_14561495"", ""bioasq_21753178"", ""bioasq_17636067"", ""bioasq_25400662"", ""bioasq_25337607"", ""bioasq_18231710"", ""bioasq_12481988""]","[0.549549, 0.497072, 0.476489, 0.434965, 0.363511, 0.308887, 0.239996, 0.219633, 0.192766, 0.190602]",0.926636,1.0,0.375
tfidf,bioasq_3617,"[""bioasq_17205086"", ""bioasq_10566200"", ""bioasq_23786024"", ""bioasq_27655110"", ""bioasq_29531424"", ""bioasq_19636526"", ""bioasq_27837588"", ""bioasq_22005615"", ""bioasq_15132715"", ""bioasq_24300339""]","[0.432319, 0.214467, 0.192501, 0.169037, 0.10781, 0.105223, 0.092215, 0.089144, 0.087637, 0.087514]",0.967468,1.0,1.0
tfidf,bioasq_3206,"[""bioasq_29531424"", ""bioasq_22005615"", ""bioasq_17463177"", ""bioasq_23074401"", ""bioasq_15846065"", ""bioasq_23003992"", ""bioasq_20158590"", ""bioasq_21315458"", ""bioasq_26305296"", ""bioasq_21993037""]","[0.568274, 0.214199, 0.128008, 0.119784, 0.101109, 0.088484, 0.081474, 0.078847, 0.075701, 0.074213]",1.0,1.0,1.0
tfidf,bioasq_4564,"[""bioasq_29374079"", ""bioasq_32520777"", ""bioasq_30291343"", ""bioasq_30079523"", ""bioasq_29531424"", ""bioasq_32813947"", ""bioasq_23150908"", ""bioasq_22630332"", ""bioasq_26657631"", ""bioasq_27358062""]","[0.134654, 0.118087, 0.11502, 0.104212, 0.099337, 0.09173, 0.091634, 0.09013, 0.081346, 0.080613]",0.0,0.0,0.0
tfidf,bioasq_1693,"[""bioasq_15195149"", ""bioasq_15175162"", ""bioasq_12050112"", ""bioasq_11834832"", ""bioasq_10377381"", ""bioasq_9989412"", ""bioasq_24820420"", ""bioasq_15835099"", ""bioasq_12034751"", ""bioasq_27801734""]","[0.520012, 0.500486, 0.344237, 0.30483, 0.257295, 0.177782, 0.106683, 0.092317, 0.089287, 0.086189]",0.800694,1.0,0.7
tfidf,bioasq_4120,"[""bioasq_31776460"", ""bioasq_31988111"", ""bioasq_31675472"", ""bioasq_27458220"", ""bioasq_19284180"", ""bioasq_23870259"", ""bioasq_27837588"", ""bioasq_22163191"", ""bioasq_26538647"", ""bioasq_18926295""]","[0.209645, 0.145915, 0.144489, 0.12164, 0.109187, 0.108436, 0.106975, 0.099489, 0.094277, 0.086634]",1.0,1.0,1.0
tfidf,bioasq_1234,"[""bioasq_17574768"", ""bioasq_19180239"", ""bioasq_25840010"", ""bioasq_22438832"", ""bioasq_30910870"", ""bioasq_22700584"", ""bioasq_23641065"", ""bioasq_18079183"", ""bioasq_23279204"", ""bioasq_22335895""]","[0.164388, 0.163878, 0.154055, 0.143347, 0.112263, 0.09987, 0.096839, 0.096115, 0.093021, 0.09299]",0.5,0.333333,1.0
tfidf,bioasq_2770,"[""bioasq_20174964"", ""bioasq_21300291"", ""bioasq_15909992"", ""bioasq_30550956"", ""bioasq_29531424"", ""bioasq_22005615"", ""bioasq_15846065"", ""bioasq_22162947"", ""bioasq_22435808"", ""bioasq_12587941""]","[0.30736, 0.197433, 0.184778, 0.093816, 0.093252, 0.077106, 0.074131, 0.070696, 0.070282, 0.067858]",1.0,1.0,1.0
tfidf,bioasq_3787,"[""bioasq_25639508"", ""bioasq_22055460"", ""bioasq_30550956"", ""bioasq_11829341"", ""bioasq_29531424"", ""bioasq_21844411"", ""bioasq_23112757"", ""bioasq_28589525"", ""bioasq_22971924"", ""bioasq_25535701""]","[0.485591, 0.104798, 0.099417, 0.097536, 0.096646, 0.086436, 0.084281, 0.082706, 0.081509, 0.080728]",1.0,1.0,1.0
tfidf,bioasq_2905,"[""bioasq_24667717"", ""bioasq_25457975"", ""bioasq_24127448"", ""bioasq_29531424"", ""bioasq_22005615"", ""bioasq_24742319"", ""bioasq_27084348"", ""bioasq_12587941"", ""bioasq_2080488"", ""bioasq_22435808""]","[0.199661, 0.188902, 0.131796, 0.115716, 0.100878, 0.090525, 0.085055, 0.0813, 0.070233, 0.068439]",0.853481,1.0,0.833333
