retriever,query_id,ranked_doc_ids,scores,ndcg_at_10,mrr_at_10,recall_at_10
tfidf,230,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106"", ""980196"", ""38028419"", ""11742219"", ""5939172""]","[0.223002, 0.211644, 0.206506, 0.187356, 0.186989, 0.17677, 0.155563, 0.149427, 0.141505, 0.137502]",0.63093,0.5,1.0
tfidf,232,"[""10536636"", ""7655029"", ""29090823"", ""457630"", ""21914176"", ""34760396"", ""13619127"", ""7454794"", ""1917068"", ""19824183""]","[0.511778, 0.455769, 0.425644, 0.151825, 0.107436, 0.094263, 0.088618, 0.079196, 0.073929, 0.070822]",1.0,1.0,1.0
tfidf,233,"[""4388470"", ""86129154"", ""36708463"", ""464511"", ""6913227"", ""16267205"", ""28390999"", ""29641682"", ""40971746"", ""4457834""]","[0.303307, 0.180634, 0.170826, 0.1652, 0.162963, 0.150693, 0.140214, 0.136874, 0.136196, 0.13454]",1.0,1.0,1.0
tfidf,236,"[""4388470"", ""86129154"", ""464511"", ""6913227"", ""36708463"", ""16267205"", ""28390999"", ""29641682"", ""40971746"", ""4457834""]","[0.327317, 0.194933, 0.178278, 0.172026, 0.162574, 0.159451, 0.151313, 0.147709, 0.143286, 0.141449]",1.0,1.0,1.0
tfidf,237,"[""4942718"", ""34386619"", ""680949"", ""12881593"", ""12824568"", ""2851611"", ""24706198"", ""5473074"", ""21943141"", ""27373088""]","[0.399875, 0.328205, 0.198385, 0.174848, 0.135767, 0.113742, 0.113491, 0.110319, 0.109685, 0.107397]",1.0,1.0,1.0
tfidf,238,"[""4463811"", ""36654066"", ""32556431"", ""6820680"", ""7185591"", ""26330861"", ""44693226"", ""21909315"", ""4418112"", ""37438296""]","[0.38225, 0.252763, 0.239742, 0.19059, 0.179089, 0.175474, 0.173675, 0.168684, 0.166287, 0.156449]",0.0,0.0,0.0
tfidf,239,"[""3230557"", ""22264117"", ""615047"", ""16693950"", ""516867"", ""7042304"", ""16233471"", ""1848452"", ""6040392"", ""26230669""]","[0.235217, 0.229488, 0.217412, 0.213816, 0.198465, 0.195373, 0.18476, 0.180332, 0.172825, 0.167255]",0.0,0.0,0.0
tfidf,248,"[""23369842"", ""25050364"", ""1568684"", ""9796495"", ""21993510"", ""45154987"", ""1590744"", ""38533515"", ""14865329"", ""13441037""]","[0.355301, 0.295051, 0.234707, 0.225823, 0.193852, 0.146421, 0.144353, 0.142233, 0.136982, 0.131549]",0.5,0.333333,1.0
tfidf,249,"[""23369842"", ""25050364"", ""9796495"", ""1568684"", ""21993510"", ""45154987"", ""1590744"", ""38533515"", ""14865329"", ""13441037""]","[0.347561, 0.291984, 0.220904, 0.214763, 0.18963, 0.143232, 0.141209, 0.139135, 0.133998, 0.128683]",0.430677,0.25,1.0
tfidf,261,"[""46743299"", ""32322418"", ""8604837"", ""53779698"", ""17097974"", ""7198295"", ""25301182"", ""25822299"", ""25761154"", ""69045262""]","[0.315899, 0.288877, 0.244486, 0.225594, 0.212516, 0.20211, 0.200513, 0.197476, 0.192567, 0.186021]",0.0,0.0,0.0
