dataset,method,code_mode,ndcg_at_10,mrr_at_10,answer_f1,answer_coverage,semantic_similarity,f1_retained_vs_top10,semantic_similarity_retained_vs_top10,total_tokens,token_reduction_vs_top10,fallback_rate
BioASQ,No Retrieval,no_retrieval_full,0.0,0.0,0.201836,0.233687,0.532329,61.5%,70.7%,121.39,96.5%,0.0%
BioASQ,Fixed Top-3,fixed_3_full,0.604519,0.906667,0.322358,0.48322,0.750155,98.2%,99.7%,1140.5,66.7%,0.0%
BioASQ,Fixed Top-5,fixed_5_full,0.710061,0.907667,0.325737,0.498267,0.751332,99.2%,99.8%,1795.32,47.5%,0.0%
BioASQ,Fixed Top-7,fixed_7_full,0.770304,0.907667,0.324833,0.502418,0.749411,98.9%,99.6%,2453.7,28.3%,0.0%
BioASQ,Fixed Top-10,fixed_10_full,0.831084,0.908167,0.328406,0.506597,0.752756,100.0%,100.0%,3420.69,0.0%,0.0%
BioASQ,Heuristic Rules,heuristic_rules_full,0.732266,0.907667,0.325061,0.49935,0.748764,99.0%,99.5%,2079.66,39.2%,0.0%
BioASQ,Adaptive-k,adaptive_k_full,0.539145,0.8975,0.319308,0.458208,0.738199,97.2%,98.1%,917.53,73.2%,0.0%
BioASQ,Safe Adaptive Context,answer_aware_fallback,0.607442,0.906667,0.322513,0.49395,0.749048,98.2%,99.5%,870.18,74.6%,4.0%
BioASQ,Coverage-Guided Ultra,coverage_guided_ultra,0.591526,0.91,0.313178,0.462305,0.740013,95.4%,98.3%,679.25,80.1%,0.0%
BioASQ,TACER,task_aware_coverage_ultra,0.581004,0.91,0.313699,0.464341,0.740165,95.5%,98.3%,656.3,80.8%,0.0%
BioASQ,Fixed Top-3,fixed_3_full,0.658399,0.94,0.330337,0.501033,0.755773,101.3%,99.9%,1159.58,68.1%,0.0%
BioASQ,Fixed Top-5,fixed_5_full,0.771813,0.94125,0.326849,0.509961,0.751672,100.2%,99.4%,1852.78,49.0%,0.0%
BioASQ,Fixed Top-10,fixed_10_full,0.904823,0.942639,0.326127,0.50925,0.756476,100.0%,100.0%,3634.96,0.0%,0.0%
BioASQ,Adaptive-k,adaptive_k_full,0.696999,0.940833,0.335717,0.498658,0.75765,102.9%,100.2%,1222.87,66.4%,0.0%
BioASQ,Safe Adaptive Context,answer_aware_fallback,0.660054,0.94,0.328688,0.505505,0.750119,100.8%,99.2%,833.26,77.1%,2.5%
BioASQ,TACER,task_aware_coverage_ultra,0.713701,0.940833,0.320255,0.490641,0.749232,98.2%,99.0%,804.62,77.9%,0.0%
BioASQ,Fixed Top-3,fixed_3_full,0.657022,0.94,0.333771,0.508049,0.758277,102.8%,100.6%,1180.96,68.8%,0.0%
BioASQ,Fixed Top-5,fixed_5_full,0.767636,0.94325,0.330169,0.516148,0.756346,101.6%,100.4%,1882.55,50.2%,0.0%
BioASQ,Fixed Top-10,fixed_10_full,0.894741,0.944083,0.324817,0.501668,0.753521,100.0%,100.0%,3780.05,0.0%,0.0%
BioASQ,Adaptive-k,adaptive_k_full,0.691551,0.941,0.337585,0.492098,0.75529,103.9%,100.2%,1240.25,67.2%,0.0%
BioASQ,Safe Adaptive Context,answer_aware_fallback,0.660114,0.94,0.329591,0.508484,0.748341,101.5%,99.3%,896.87,76.3%,4.0%
BioASQ,TACER,task_aware_coverage_ultra,0.711819,0.941,0.324302,0.485887,0.747773,99.8%,99.2%,805.35,78.7%,1.0%
