dataset,method,code_mode,ndcg_at_10,mrr_at_10,answer_f1,answer_coverage,semantic_similarity,f1_retained_vs_top10,semantic_similarity_retained_vs_top10,total_tokens,token_reduction_vs_top10,fallback_rate
SciFact,Fixed Top-3,fixed_3_full,0.634527,0.635,0.252087,0.829984,0.547019,101.8%,99.6%,1224.52,67.7%,0.0%
SciFact,Fixed Top-5,fixed_5_full,0.663181,0.64875,0.251716,0.835277,0.544674,101.7%,99.2%,1950.79,48.5%,0.0%
SciFact,Fixed Top-10,fixed_10_full,0.686115,0.657468,0.247615,0.828207,0.549076,100.0%,100.0%,3789.59,0.0%,0.0%
SciFact,Adaptive-k,adaptive_k_full,0.617563,0.619583,0.264054,0.832711,0.549601,106.6%,100.1%,885.53,76.6%,0.0%
SciFact,Safe Adaptive Context,answer_aware_fallback,0.636681,0.63625,0.248906,0.821381,0.550562,100.5%,100.3%,931.03,75.4%,4.5%
SciFact,TACER,task_aware_coverage_ultra,0.642152,0.639583,0.254747,0.835102,0.554197,102.9%,100.9%,677.16,82.1%,0.0%
BioASQ,Fixed Top-3,fixed_3_full,0.657022,0.94,0.333771,0.508049,0.758277,102.8%,100.6%,1180.96,68.8%,0.0%
BioASQ,Fixed Top-5,fixed_5_full,0.767636,0.94325,0.330169,0.516148,0.756346,101.6%,100.4%,1882.55,50.2%,0.0%
BioASQ,Fixed Top-10,fixed_10_full,0.894741,0.944083,0.324817,0.501668,0.753521,100.0%,100.0%,3780.05,0.0%,0.0%
BioASQ,Adaptive-k,adaptive_k_full,0.691551,0.941,0.337585,0.492098,0.75529,103.9%,100.2%,1240.25,67.2%,0.0%
BioASQ,Safe Adaptive Context,answer_aware_fallback,0.660114,0.94,0.329591,0.508484,0.748341,101.5%,99.3%,896.87,76.3%,4.0%
BioASQ,TACER,task_aware_coverage_ultra,0.711819,0.941,0.324302,0.485887,0.747773,99.8%,99.2%,805.35,78.7%,1.0%
HotpotQA,Fixed Top-3,fixed_3_full,0.801574,0.953333,0.646921,0.652623,0.744062,89.2%,91.6%,591.87,65.8%,0.0%
HotpotQA,Fixed Top-5,fixed_5_full,0.832321,0.954583,0.683631,0.695647,0.77894,94.3%,95.9%,906.53,47.6%,0.0%
HotpotQA,Fixed Top-10,fixed_10_full,0.874641,0.955139,0.725215,0.73573,0.812608,100.0%,100.0%,1731.27,0.0%,0.0%
HotpotQA,Adaptive-k,adaptive_k_full,0.743762,0.952222,0.573469,0.57573,0.692947,79.1%,85.3%,582.41,66.4%,0.0%
HotpotQA,Safe Adaptive Context,answer_aware_fallback,0.868499,0.955139,0.701984,0.714956,0.788718,96.8%,97.1%,1190.94,31.2%,0.0%
HotpotQA,TACER,task_aware_coverage_ultra,0.867179,0.953889,0.704719,0.716563,0.791356,97.2%,97.4%,1186.7,31.5%,0.0%
ASQA,Fixed Top-3,fixed_3_full,0.794749,0.985,0.415969,0.409439,0.781881,99.6%,99.8%,456.65,57.2%,0.0%
ASQA,Fixed Top-5,fixed_5_full,0.888774,0.98625,0.418641,0.427076,0.784611,100.2%,100.2%,647.54,39.3%,0.0%
ASQA,Fixed Top-10,fixed_10_full,0.924695,0.98625,0.417842,0.425609,0.783324,100.0%,100.0%,1066.49,0.0%,0.0%
ASQA,Adaptive-k,adaptive_k_full,0.825496,0.98625,0.414962,0.403715,0.780825,99.3%,99.7%,481.64,54.8%,0.0%
ASQA,Safe Adaptive Context,answer_aware_fallback,0.798813,0.985,0.414382,0.411775,0.780628,99.2%,99.7%,486.76,54.4%,4.5%
ASQA,TACER,task_aware_coverage_ultra,0.796831,0.985,0.417201,0.410691,0.780995,99.8%,99.7%,485.88,54.4%,5.5%
