dataset,method,code_mode,ndcg_at_10,mrr_at_10,answer_f1,answer_coverage,semantic_similarity,f1_retained_vs_top10,semantic_similarity_retained_vs_top10,total_tokens,token_reduction_vs_top10,fallback_rate
SciFact,Fixed Top-3,fixed_3_full,0.640479,0.6375,0.24901,0.832253,0.545052,101.1%,99.3%,1211.4,67.7%,0.0%
SciFact,Fixed Top-5,fixed_5_full,0.655171,0.644,0.251202,0.828757,0.547587,102.0%,99.8%,1944.08,48.2%,0.0%
SciFact,Fixed Top-10,fixed_10_full,0.6802,0.653591,0.246389,0.823517,0.548904,100.0%,100.0%,3752.56,0.0%,0.0%
SciFact,Adaptive-k,adaptive_k_full,0.602259,0.605833,0.261691,0.830441,0.548551,106.2%,99.9%,868.04,76.9%,0.0%
SciFact,Safe Adaptive Context,answer_aware_fallback,0.640479,0.6375,0.248663,0.827221,0.549058,100.9%,100.0%,920.85,75.5%,3.5%
SciFact,TACER,task_aware_coverage_ultra,0.620226,0.620833,0.25104,0.815124,0.551125,101.9%,100.4%,656.5,82.5%,0.0%
BioASQ,Fixed Top-3,fixed_3_full,0.658399,0.94,0.330337,0.501033,0.755773,101.3%,99.9%,1159.58,68.1%,0.0%
BioASQ,Fixed Top-5,fixed_5_full,0.771813,0.94125,0.326849,0.509961,0.751672,100.2%,99.4%,1852.78,49.0%,0.0%
BioASQ,Fixed Top-10,fixed_10_full,0.904823,0.942639,0.326127,0.50925,0.756476,100.0%,100.0%,3634.96,0.0%,0.0%
BioASQ,Adaptive-k,adaptive_k_full,0.696999,0.940833,0.335717,0.498658,0.75765,102.9%,100.2%,1222.87,66.4%,0.0%
BioASQ,Safe Adaptive Context,answer_aware_fallback,0.660054,0.94,0.328688,0.505505,0.750119,100.8%,99.2%,833.26,77.1%,2.5%
BioASQ,TACER,task_aware_coverage_ultra,0.713701,0.940833,0.320255,0.490641,0.749232,98.2%,99.0%,804.62,77.9%,0.0%
HotpotQA,Fixed Top-3,fixed_3_full,0.800442,0.950833,0.644421,0.646373,0.740106,91.8%,93.1%,591.64,66.1%,0.0%
HotpotQA,Fixed Top-5,fixed_5_full,0.828549,0.951833,0.66308,0.673956,0.761823,94.4%,95.8%,903.75,48.3%,0.0%
HotpotQA,Fixed Top-10,fixed_10_full,0.86106,0.952389,0.702358,0.70573,0.795138,100.0%,100.0%,1746.72,0.0%,0.0%
HotpotQA,Adaptive-k,adaptive_k_full,0.740696,0.947222,0.559929,0.55998,0.684042,79.7%,86.0%,595.61,65.9%,0.0%
HotpotQA,Safe Adaptive Context,answer_aware_fallback,0.856837,0.952389,0.689445,0.695706,0.775636,98.2%,97.5%,1195.4,31.6%,0.0%
HotpotQA,TACER,task_aware_coverage_ultra,0.855651,0.952389,0.676029,0.687039,0.763998,96.3%,96.1%,1191.86,31.8%,0.0%
MSMARCO,Fixed Top-3,fixed_3_full,0.638271,0.605833,0.218329,0.659635,0.479565,108.4%,100.8%,539.88,62.8%,0.0%
MSMARCO,Fixed Top-5,fixed_5_full,0.706736,0.642833,0.204462,0.647835,0.476685,101.5%,100.2%,792.68,45.4%,0.0%
MSMARCO,Fixed Top-10,fixed_10_full,0.730251,0.65002,0.201479,0.647586,0.475529,100.0%,100.0%,1450.78,0.0%,0.0%
MSMARCO,Adaptive-k,adaptive_k_full,0.714771,0.642061,0.204335,0.644888,0.477742,101.4%,100.5%,1056.47,27.2%,0.0%
MSMARCO,Safe Adaptive Context,answer_aware_fallback,0.688636,0.631292,0.204247,0.633835,0.467324,101.4%,98.3%,675.91,53.4%,1.0%
MSMARCO,TACER,task_aware_coverage_ultra,0.714771,0.642061,0.199704,0.635376,0.470285,99.1%,98.9%,949.41,34.6%,0.0%
ASQA,Fixed Top-3,fixed_3_full,0.778819,0.985,0.41765,0.409386,0.778701,98.5%,99.4%,468.35,64.9%,0.0%
ASQA,Fixed Top-5,fixed_5_full,0.867755,0.98625,0.42402,0.429768,0.783787,100.0%,100.0%,687.68,48.4%,0.0%
ASQA,Fixed Top-10,fixed_10_full,0.898356,0.98625,0.424214,0.435775,0.783762,100.0%,100.0%,1333.86,0.0%,0.0%
ASQA,Adaptive-k,adaptive_k_full,0.812373,0.98625,0.415177,0.402254,0.778364,97.9%,99.3%,474.69,64.4%,0.0%
ASQA,Safe Adaptive Context,answer_aware_fallback,0.779659,0.985,0.412086,0.411551,0.780425,97.1%,99.6%,483.24,63.8%,4.0%
ASQA,TACER,task_aware_coverage_ultra,0.78039,0.985,0.418344,0.413872,0.781312,98.6%,99.7%,492.65,63.1%,3.0%
