dataset,method,code_mode,ndcg_at_10,mrr_at_10,answer_f1,answer_coverage,semantic_similarity,f1_retained_vs_top10,semantic_similarity_retained_vs_top10,total_tokens,token_reduction_vs_top10,fallback_rate
MSMARCO,No Retrieval,no_retrieval_full,0.0,0.0,0.101411,0.136235,0.282955,51.8%,59.8%,110.88,92.1%,0.0%
MSMARCO,Fixed Top-3,fixed_3_full,0.385599,0.36,0.196697,0.580155,0.468497,100.6%,99.0%,528.35,62.2%,0.0%
MSMARCO,Fixed Top-5,fixed_5_full,0.474519,0.40325,0.197695,0.624256,0.472222,101.1%,99.8%,785.55,43.8%,0.0%
MSMARCO,Fixed Top-7,fixed_7_full,0.535107,0.428607,0.198178,0.621408,0.474793,101.3%,100.3%,1035.16,26.0%,0.0%
MSMARCO,Fixed Top-10,fixed_10_full,0.552481,0.434579,0.195618,0.614194,0.473325,100.0%,100.0%,1397.97,0.0%,0.0%
MSMARCO,Heuristic Rules,heuristic_rules_full,0.487252,0.40894,0.2006,0.616731,0.475987,102.5%,100.6%,813.03,41.8%,0.0%
MSMARCO,Adaptive-k,adaptive_k_full,0.431013,0.37028,0.199485,0.549167,0.466066,102.0%,98.5%,718.35,48.6%,0.0%
MSMARCO,Safe Adaptive Context,answer_aware_fallback,0.515606,0.420329,0.195315,0.621966,0.468943,99.8%,99.1%,859.26,38.5%,1.0%
MSMARCO,Coverage-Guided Ultra,coverage_guided_ultra,0.431013,0.37028,0.193461,0.533332,0.451645,98.9%,95.4%,642.04,54.1%,0.0%
MSMARCO,TACER,task_aware_coverage_ultra,0.431013,0.37028,0.194744,0.52266,0.455981,99.6%,96.3%,642.36,54.1%,0.0%
MSMARCO,Fixed Top-3,fixed_3_full,0.638271,0.605833,0.218329,0.659635,0.479565,108.4%,100.8%,539.88,62.8%,0.0%
MSMARCO,Fixed Top-5,fixed_5_full,0.706736,0.642833,0.204462,0.647835,0.476685,101.5%,100.2%,792.68,45.4%,0.0%
MSMARCO,Fixed Top-10,fixed_10_full,0.730251,0.65002,0.201479,0.647586,0.475529,100.0%,100.0%,1450.78,0.0%,0.0%
MSMARCO,Adaptive-k,adaptive_k_full,0.714771,0.642061,0.204335,0.644888,0.477742,101.4%,100.5%,1056.47,27.2%,0.0%
MSMARCO,Safe Adaptive Context,answer_aware_fallback,0.688636,0.631292,0.204247,0.633835,0.467324,101.4%,98.3%,675.91,53.4%,1.0%
MSMARCO,TACER,task_aware_coverage_ultra,0.714771,0.642061,0.199704,0.635376,0.470285,99.1%,98.9%,949.41,34.6%,0.0%
MSMARCO,Fixed Top-3,fixed_3_full,0.648271,0.615833,0.220423,0.663857,0.47963,109.6%,100.1%,538.5,62.8%,0.0%
MSMARCO,Fixed Top-5,fixed_5_full,0.716382,0.652333,0.204187,0.646827,0.478003,101.5%,99.8%,791.41,45.3%,0.0%
MSMARCO,Fixed Top-10,fixed_10_full,0.741465,0.660234,0.201178,0.657331,0.479121,100.0%,100.0%,1447.45,0.0%,0.0%
MSMARCO,Adaptive-k,adaptive_k_full,0.723584,0.650609,0.204395,0.647243,0.478882,101.6%,100.0%,1071.27,26.0%,0.0%
MSMARCO,Safe Adaptive Context,answer_aware_fallback,0.696483,0.640042,0.203376,0.632295,0.468757,101.1%,97.8%,676.51,53.3%,1.0%
MSMARCO,TACER,task_aware_coverage_ultra,0.723584,0.650609,0.200122,0.634993,0.470085,99.5%,98.1%,959.2,33.7%,0.0%
